date,mean_temp,mean_dewpt,mean_pressure,max_temp,min_temp,max_humidity,min_humidity,max_dewpt,min_dewpt,max_pressure,min_pressure,precip_probability,precip_intensity
2017-12-31,-0.9675000000000001,-8.78,1029.92,6.43,-7.77,0.75,0.58,-5.29,-13.89,1031.52,1025.8,0.0,0.0
2017-12-30,11.46875,5.29,1016.68,19.77,1.03,0.84,0.67,11.79,-5.99,1024.7,1012.23,0.0,0.0
2017-12-29,7.884166666666666,0.51,1026.06,15.34,2.45,0.82,0.62,8.4,-7.03,1032.26,1021.23,0.0,0.0
2017-12-28,0.5674999999999999,-9.75,1037.66,8.55,-8.02,0.68,0.53,-4.64,-15.89,1040.05,1032.95,0.0,0.0
2017-12-27,5.65125,-2.96,1033.72,12.73,-1.57,0.78,0.55,0.65,-10.23,1037.53,1030.45,0.0,0.0
2017-12-26,10.685416666666669,0.42,1027.14,14.27,5.85,0.69,0.55,3.55,-2.15,1030.92,1020.97,0.0,0.0
2017-12-25,22.05,14.11,1011.13,26.47,14.6,0.88,0.55,20.8,4.09,1020.44,1003.3,0.0,0.0
2017-12-24,26.249166666666667,20.06,1019.57,29.18,20.97,0.88,0.66,23.63,15.66,1024.83,1007.53,0.0,0.0
2017-12-23,26.322083333333335,22.83,1014.33,31.58,21.84,0.92,0.78,27.92,18.92,1019.67,1010.2,0.2,0.0003
2017-12-22,22.464583333333334,18.41,1019.59,23.92,20.14,0.87,0.81,20.12,16.42,1023.19,1017.68,0.27,0.0004
2017-12-21,23.72375,14.97,1023.85,25.97,21.24,0.85,0.64,19.3,11.49,1025.49,1020.76,0.0,0.0
2017-12-20,30.853749999999994,21.36,1015.5,36.55,25.46,0.78,0.61,28.62,15.73,1020.76,1007.9,0.0,0.0
2017-12-19,40.052916666666675,34.28,1006.04,43.35,37.19,0.93,0.68,37.28,27.8,1008.54,1003.81,0.33,0.0008
2017-12-18,29.272500000000004,26.21,1013.19,37.27,20.48,0.93,0.8,35.38,15.32,1019.37,1008.98,0.32,0.0008
2017-12-17,13.684583333333334,6.03,1024.97,19.35,5.29,0.77,0.58,12.19,-0.36,1028.05,1020.07,0.0,0.0
2017-12-16,20.4575,11.79,1016.22,24.56,13.39,0.78,0.55,16.68,7.01,1024.3,1008.85,0.0,0.0
2017-12-15,19.28125,13.78,1011.48,25.5,9.52,0.87,0.72,21.64,4.94,1016.78,1006.8,0.24,0.0001
2017-12-14,11.959583333333333,4.21,1011.75,19.98,3.95,0.79,0.58,9.44,-2.54,1017.4,1003.02,0.0,0.0
2017-12-13,12.748750000000001,4.64,1004.77,18.27,6.93,0.77,0.61,7.47,1.13,1007.4,1002.82,0.0,0.0
2017-12-12,22.47666666666667,16.43,1002.31,27.36,13.14,0.89,0.61,23.45,6.34,1006.29,1000.1,0.26,0.0009
2017-12-11,22.165000000000003,15.27,1014.06,25.48,16.47,0.89,0.6,21.71,9.59,1018.28,1007.56,0.08,0.0001
2017-12-10,28.545416666666664,20.91,1009.78,30.4,25.81,0.84,0.63,23.82,16.73,1011.98,1007.75,0.0,0.0
2017-12-09,31.65958333333333,20.82,1009.42,35.0,27.89,0.82,0.52,25.04,15.57,1011.61,1007.64,0.0,0.0
2017-12-08,30.090833333333332,17.49,1012.47,33.95,27.13,0.71,0.5,20.85,14.62,1014.29,1009.83,0.0,0.0
2017-12-07,31.138333333333325,20.09,1012.66,33.69,27.66,0.73,0.53,21.86,17.98,1014.39,1011.3,0.0,0.0
2017-12-06,34.010416666666664,18.82,1009.9,37.01,29.96,0.67,0.41,24.76,14.68,1011.64,1008.9,0.0,0.0
2017-12-05,45.23500000000001,38.39,1006.58,50.94,35.56,0.92,0.5,47.09,18.71,1011.67,1003.14,0.89,0.0101
2017-12-04,39.455416666666665,35.37,1021.52,47.24,29.97,0.95,0.7,39.89,28.02,1026.7,1012.58,0.0,0.0
2017-12-03,38.10916666666666,35.19,1021.77,44.68,33.61,0.96,0.82,39.9,30.5,1025.26,1020.26,0.0,0.0
2017-12-02,37.991249999999994,33.64,1022.56,45.01,32.99,0.91,0.72,36.48,29.81,1024.55,1020.7,0.0,0.0
2017-12-01,40.05624999999999,31.67,1022.48,44.41,33.53,0.85,0.57,34.53,29.18,1024.88,1016.6,0.0,0.0
2017-11-30,37.785833333333336,32.42,1015.97,43.07,30.7,0.9,0.75,39.57,24.25,1024.65,1009.18,1.0,0.0034
2017-11-29,41.15958333333334,30.56,1022.18,53.9,29.58,0.8,0.54,42.71,23.72,1028.24,1012.63,0.0,0.0
2017-11-28,45.495,33.35,1016.03,58.98,28.35,0.91,0.44,39.04,21.89,1022.4,1011.84,0.0,0.0
2017-11-27,33.16958333333334,23.7,1019.44,39.9,27.82,0.73,0.62,29.75,19.79,1023.51,1011.2,0.0,0.0
2017-11-26,34.51416666666666,25.28,1014.81,37.51,30.92,0.8,0.62,28.75,22.22,1019.48,1011.36,0.0,0.0
