date,mean_temp,mean_dewpt,mean_pressure,max_temp,min_temp,max_humidity,min_humidity,max_dewpt,min_dewpt,max_pressure,min_pressure,precip_probability,precip_intensity,mean_temp_1,mean_temp_2,mean_temp_3,mean_temp_4,mean_temp_5,mean_temp_6,mean_temp_7,mean_temp_365,mean_temp_366,mean_temp_367,mean_temp_368,mean_temp_369,mean_temp_370,mean_temp_380,mean_dewpt_1,mean_dewpt_2,mean_dewpt_3,mean_dewpt_4,mean_dewpt_5,mean_dewpt_6,mean_dewpt_7,mean_dewpt_365,mean_dewpt_366,mean_dewpt_367,mean_dewpt_368,mean_dewpt_369,mean_dewpt_370,mean_dewpt_380,mean_pressure_1,mean_pressure_2,mean_pressure_3,mean_pressure_4,mean_pressure_5,mean_pressure_6,mean_pressure_7,mean_pressure_365,mean_pressure_366,mean_pressure_367,mean_pressure_368,mean_pressure_369,mean_pressure_370,mean_pressure_380,max_temp_1,max_temp_2,max_temp_3,max_temp_4,max_temp_5,max_temp_6,max_temp_7,max_temp_365,max_temp_366,max_temp_367,max_temp_368,max_temp_369,max_temp_370,max_temp_380,min_temp_1,min_temp_2,min_temp_3,min_temp_4,min_temp_5,min_temp_6,min_temp_7,min_temp_365,min_temp_366,min_temp_367,min_temp_368,min_temp_369,min_temp_370,min_temp_380,max_humidity_1,max_humidity_2,max_humidity_3,max_humidity_4,max_humidity_5,max_humidity_6,max_humidity_7,max_humidity_365,max_humidity_366,max_humidity_367,max_humidity_368,max_humidity_369,max_humidity_370,max_humidity_380,min_humidity_1,min_humidity_2,min_humidity_3,min_humidity_4,min_humidity_5,min_humidity_6,min_humidity_7,min_humidity_365,min_humidity_366,min_humidity_367,min_humidity_368,min_humidity_369,min_humidity_370,min_humidity_380,max_dewpt_1,max_dewpt_2,max_dewpt_3,max_dewpt_4,max_dewpt_5,max_dewpt_6,max_dewpt_7,max_dewpt_365,max_dewpt_366,max_dewpt_367,max_dewpt_368,max_dewpt_369,max_dewpt_370,max_dewpt_380,min_dewpt_1,min_dewpt_2,min_dewpt_3,min_dewpt_4,min_dewpt_5,min_dewpt_6,min_dewpt_7,min_dewpt_365,min_dewpt_366,min_dewpt_367,min_dewpt_368,min_dewpt_369,min_dewpt_370,min_dewpt_380,max_pressure_1,max_pressure_2,max_pressure_3,max_pressure_4,max_pressure_5,max_pressure_6,max_pressure_7,max_pressure_365,max_pressure_366,max_pressure_367,max_pressure_368,max_pressure_369,max_pressure_370,max_pressure_380,min_pressure_1,min_pressure_2,min_pressure_3,min_pressure_4,min_pressure_5,min_pressure_6,min_pressure_7,min_pressure_365,min_pressure_366,min_pressure_367,min_pressure_368,min_pressure_369,min_pressure_370,min_pressure_380,precip_probability_1,precip_probability_2,precip_probability_3,precip_probability_4,precip_probability_5,precip_probability_6,precip_probability_7,precip_probability_365,precip_probability_366,precip_probability_367,precip_probability_368,precip_probability_369,precip_probability_370,precip_probability_380,precip_intensity_1,precip_intensity_2,precip_intensity_3,precip_intensity_4,precip_intensity_5,precip_intensity_6,precip_intensity_7,precip_intensity_365,precip_intensity_366,precip_intensity_367,precip_intensity_368,precip_intensity_369,precip_intensity_370,precip_intensity_380
2015-04-07,39.75875,25.4,1026.31,46.54,34.13,0.8,0.37,29.86,21.25,1027.79,1023.83,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-08,36.96625,26.59,1022.06,38.93,34.98,0.93,0.38,35.56,14.74,1027.11,1018.07,0.84,0.019,39.75875,,,,,,,,,,,,,,25.4,,,,,,,,,,,,,,1026.31,,,,,,,,,,,,,,46.54,,,,,,,,,,,,,,34.13,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,29.86,,,,,,,,,,,,,,21.25,,,,,,,,,,,,,,1027.79,,,,,,,,,,,,,,1023.83,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
2015-04-09,39.37208333333333,37.78,1015.96,46.86,34.99,0.99,0.9,46.52,32.76,1021.41,1006.52,0.8,0.006,36.96625,39.75875,,,,,,,,,,,,,26.59,25.4,,,,,,,,,,,,,1022.06,1026.31,,,,,,,,,,,,,38.93,46.54,,,,,,,,,,,,,34.98,34.13,,,,,,,,,,,,,0.93,0.8,,,,,,,,,,,,,0.38,0.37,,,,,,,,,,,,,35.56,29.86,,,,,,,,,,,,,14.74,21.25,,,,,,,,,,,,,1027.11,1027.79,,,,,,,,,,,,,1018.07,1023.83,,,,,,,,,,,,,0.84,0.0,,,,,,,,,,,,,0.019,0.0,,,,,,,,,,,,
2015-04-10,48.4025,42.04,1003.03,57.73,43.06,0.97,0.59,51.15,30.71,1010.16,997.0,0.83,0.0135,39.37208333333333,36.96625,39.75875,,,,,,,,,,,,37.78,26.59,25.4,,,,,,,,,,,,1015.96,1022.06,1026.31,,,,,,,,,,,,46.86,38.93,46.54,,,,,,,,,,,,34.99,34.98,34.13,,,,,,,,,,,,0.99,0.93,0.8,,,,,,,,,,,,0.9,0.38,0.37,,,,,,,,,,,,46.52,35.56,29.86,,,,,,,,,,,,32.76,14.74,21.25,,,,,,,,,,,,1021.41,1027.11,1027.79,,,,,,,,,,,,1006.52,1018.07,1023.83,,,,,,,,,,,,0.8,0.84,0.0,,,,,,,,,,,,0.006,0.019,0.0,,,,,,,,,,,
2015-04-11,43.39291666666667,29.25,1018.24,52.31,37.57,0.74,0.42,30.93,27.06,1022.66,1010.2,0.0,0.0,48.4025,39.37208333333333,36.96625,39.75875,,,,,,,,,,,42.04,37.78,26.59,25.4,,,,,,,,,,,1003.03,1015.96,1022.06,1026.31,,,,,,,,,,,57.73,46.86,38.93,46.54,,,,,,,,,,,43.06,34.99,34.98,34.13,,,,,,,,,,,0.97,0.99,0.93,0.8,,,,,,,,,,,0.59,0.9,0.38,0.37,,,,,,,,,,,51.15,46.52,35.56,29.86,,,,,,,,,,,30.71,32.76,14.74,21.25,,,,,,,,,,,1010.16,1021.41,1027.11,1027.79,,,,,,,,,,,997.0,1006.52,1018.07,1023.83,,,,,,,,,,,0.83,0.8,0.84,0.0,,,,,,,,,,,0.0135,0.006,0.019,0.0,,,,,,,,,,
2015-04-12,49.1225,33.17,1023.22,62.84,33.9,0.79,0.37,38.01,28.09,1025.22,1021.99,0.0,0.0,43.39291666666667,48.4025,39.37208333333333,36.96625,39.75875,,,,,,,,,,29.25,42.04,37.78,26.59,25.4,,,,,,,,,,1018.24,1003.03,1015.96,1022.06,1026.31,,,,,,,,,,52.31,57.73,46.86,38.93,46.54,,,,,,,,,,37.57,43.06,34.99,34.98,34.13,,,,,,,,,,0.74,0.97,0.99,0.93,0.8,,,,,,,,,,0.42,0.59,0.9,0.38,0.37,,,,,,,,,,30.93,51.15,46.52,35.56,29.86,,,,,,,,,,27.06,30.71,32.76,14.74,21.25,,,,,,,,,,1022.66,1010.16,1021.41,1027.11,1027.79,,,,,,,,,,1010.2,997.0,1006.52,1018.07,1023.83,,,,,,,,,,0.0,0.83,0.8,0.84,0.0,,,,,,,,,,0.0,0.0135,0.006,0.019,0.0,,,,,,,,,
2015-04-13,52.78375,39.5,1016.67,66.87,40.98,0.83,0.42,56.95,32.15,1022.05,1009.01,0.6,0.0042,49.1225,43.39291666666667,48.4025,39.37208333333333,36.96625,39.75875,,,,,,,,,33.17,29.25,42.04,37.78,26.59,25.4,,,,,,,,,1023.22,1018.24,1003.03,1015.96,1022.06,1026.31,,,,,,,,,62.84,52.31,57.73,46.86,38.93,46.54,,,,,,,,,33.9,37.57,43.06,34.99,34.98,34.13,,,,,,,,,0.79,0.74,0.97,0.99,0.93,0.8,,,,,,,,,0.37,0.42,0.59,0.9,0.38,0.37,,,,,,,,,38.01,30.93,51.15,46.52,35.56,29.86,,,,,,,,,28.09,27.06,30.71,32.76,14.74,21.25,,,,,,,,,1025.22,1022.66,1010.16,1021.41,1027.11,1027.79,,,,,,,,,1021.99,1010.2,997.0,1006.52,1018.07,1023.83,,,,,,,,,0.0,0.0,0.83,0.8,0.84,0.0,,,,,,,,,0.0,0.0,0.0135,0.006,0.019,0.0,,,,,,,,
2015-04-14,51.0675,29.94,1021.96,62.5,37.74,0.84,0.23,38.51,20.49,1024.19,1019.81,0.0,0.0,52.78375,49.1225,43.39291666666667,48.4025,39.37208333333333,36.96625,39.75875,,,,,,,,39.5,33.17,29.25,42.04,37.78,26.59,25.4,,,,,,,,1016.67,1023.22,1018.24,1003.03,1015.96,1022.06,1026.31,,,,,,,,66.87,62.84,52.31,57.73,46.86,38.93,46.54,,,,,,,,40.98,33.9,37.57,43.06,34.99,34.98,34.13,,,,,,,,0.83,0.79,0.74,0.97,0.99,0.93,0.8,,,,,,,,0.42,0.37,0.42,0.59,0.9,0.38,0.37,,,,,,,,56.95,38.01,30.93,51.15,46.52,35.56,29.86,,,,,,,,32.15,28.09,27.06,30.71,32.76,14.74,21.25,,,,,,,,1022.05,1025.22,1022.66,1010.16,1021.41,1027.11,1027.79,,,,,,,,1009.01,1021.99,1010.2,997.0,1006.52,1018.07,1023.83,,,,,,,,0.6,0.0,0.0,0.83,0.8,0.84,0.0,,,,,,,,0.0042,0.0,0.0,0.0135,0.006,0.019,0.0,,,,,,,
2015-04-15,50.5375,25.51,1027.36,59.89,40.59,0.49,0.29,30.1,19.27,1029.75,1023.94,0.0,0.0,51.0675,52.78375,49.1225,43.39291666666667,48.4025,39.37208333333333,36.96625,,,,,,,,29.94,39.5,33.17,29.25,42.04,37.78,26.59,,,,,,,,1021.96,1016.67,1023.22,1018.24,1003.03,1015.96,1022.06,,,,,,,,62.5,66.87,62.84,52.31,57.73,46.86,38.93,,,,,,,,37.74,40.98,33.9,37.57,43.06,34.99,34.98,,,,,,,,0.84,0.83,0.79,0.74,0.97,0.99,0.93,,,,,,,,0.23,0.42,0.37,0.42,0.59,0.9,0.38,,,,,,,,38.51,56.95,38.01,30.93,51.15,46.52,35.56,,,,,,,,20.49,32.15,28.09,27.06,30.71,32.76,14.74,,,,,,,,1024.19,1022.05,1025.22,1022.66,1010.16,1021.41,1027.11,,,,,,,,1019.81,1009.01,1021.99,1010.2,997.0,1006.52,1018.07,,,,,,,,0.0,0.6,0.0,0.0,0.83,0.8,0.84,,,,,,,,0.0,0.0042,0.0,0.0,0.0135,0.006,0.019,,,,,,,
2015-04-16,49.99375,30.71,1025.16,61.67,39.96,0.71,0.32,42.4,24.81,1030.01,1018.85,0.0,0.0,50.5375,51.0675,52.78375,49.1225,43.39291666666667,48.4025,39.37208333333333,,,,,,,,25.51,29.94,39.5,33.17,29.25,42.04,37.78,,,,,,,,1027.36,1021.96,1016.67,1023.22,1018.24,1003.03,1015.96,,,,,,,,59.89,62.5,66.87,62.84,52.31,57.73,46.86,,,,,,,,40.59,37.74,40.98,33.9,37.57,43.06,34.99,,,,,,,,0.49,0.84,0.83,0.79,0.74,0.97,0.99,,,,,,,,0.29,0.23,0.42,0.37,0.42,0.59,0.9,,,,,,,,30.1,38.51,56.95,38.01,30.93,51.15,46.52,,,,,,,,19.27,20.49,32.15,28.09,27.06,30.71,32.76,,,,,,,,1029.75,1024.19,1022.05,1025.22,1022.66,1010.16,1021.41,,,,,,,,1023.94,1019.81,1009.01,1021.99,1010.2,997.0,1006.52,,,,,,,,0.0,0.0,0.6,0.0,0.0,0.83,0.8,,,,,,,,0.0,0.0,0.0042,0.0,0.0,0.0135,0.006,,,,,,,
